threshold,tp,fp,tn,fn,tpr,fpr,asr
-4.098803924435976,3,0,500,497,0.006,0.0,0.503
-4.09571163229146,3,0,500,497,0.006,0.0,0.503
-4.0926193401469435,3,0,500,497,0.006,0.0,0.503
-4.089527048002427,3,0,500,497,0.006,0.0,0.503
-4.086434755857911,3,0,500,497,0.006,0.0,0.503
-4.083342463713395,3,0,500,497,0.006,0.0,0.503
-4.080250171568879,3,0,500,497,0.006,0.0,0.503
-4.077157879424362,3,0,500,497,0.006,0.0,0.503
-4.074065587279846,3,0,500,497,0.006,0.0,0.503
-4.07097329513533,3,0,500,497,0.006,0.0,0.503
-4.067881002990814,3,0,500,497,0.006,0.0,0.503
-4.0647887108462974,3,0,500,497,0.006,0.0,0.503
-4.061696418701781,3,0,500,497,0.006,0.0,0.503
-4.058604126557265,3,0,500,497,0.006,0.0,0.503
-4.055511834412749,3,0,500,497,0.006,0.0,0.503
-4.0524195422682325,3,0,500,497,0.006,0.0,0.503
-4.049327250123716,3,0,500,497,0.006,0.0,0.503
-4.0462349579792,3,0,500,497,0.006,0.0,0.503
-4.043142665834684,3,0,500,497,0.006,0.0,0.503
-4.040050373690168,3,0,500,497,0.006,0.0,0.503
-4.036958081545651,3,0,500,497,0.006,0.0,0.503
-4.033865789401135,3,0,500,497,0.006,0.0,0.503
-4.030773497256619,3,0,500,497,0.006,0.0,0.503
-4.027681205112103,3,0,500,497,0.006,0.0,0.503
-4.0245889129675865,3,0,500,497,0.006,0.0,0.503
-4.02149662082307,3,0,500,497,0.006,0.0,0.503
-4.018404328678554,3,0,500,497,0.006,0.0,0.503
-4.015312036534038,3,0,500,497,0.006,0.0,0.503
-4.012219744389522,3,0,500,497,0.006,0.0,0.503
-4.009127452245005,3,0,500,497,0.006,0.0,0.503
-4.006035160100489,3,0,500,497,0.006,0.0,0.503
-4.002942867955973,3,0,500,497,0.006,0.0,0.503
-3.9998505758114566,3,0,500,497,0.006,0.0,0.503
-3.9967582836669404,3,0,500,497,0.006,0.0,0.503
-3.993665991522424,3,0,500,497,0.006,0.0,0.503
-3.990573699377908,3,0,500,497,0.006,0.0,0.503
-3.9874814072333917,3,0,500,497,0.006,0.0,0.503
-3.9843891150888755,3,0,500,497,0.006,0.0,0.503
-3.9812968229443593,3,0,500,497,0.006,0.0,0.503
-3.978204530799843,3,0,500,497,0.006,0.0,0.503
-3.975112238655327,3,0,500,497,0.006,0.0,0.503
-3.9720199465108106,3,0,500,497,0.006,0.0,0.503
-3.9689276543662944,3,0,500,497,0.006,0.0,0.503
-3.965835362221778,3,0,500,497,0.006,0.0,0.503
-3.962743070077262,3,0,500,497,0.006,0.0,0.503
-3.9596507779327457,3,0,500,497,0.006,0.0,0.503
-3.9565584857882294,3,0,500,497,0.006,0.0,0.503
-3.953466193643713,3,0,500,497,0.006,0.0,0.503
-3.950373901499197,3,0,500,497,0.006,0.0,0.503
-3.9472816093546808,3,0,500,497,0.006,0.0,0.503
-3.9441893172101645,3,0,500,497,0.006,0.0,0.503
-3.9410970250656483,3,0,500,497,0.006,0.0,0.503
-3.938004732921132,3,0,500,497,0.006,0.0,0.503
-3.934912440776616,3,0,500,497,0.006,0.0,0.503
-3.9318201486320996,3,0,500,497,0.006,0.0,0.503
-3.9287278564875834,3,0,500,497,0.006,0.0,0.503
-3.925635564343067,3,0,500,497,0.006,0.0,0.503
-3.922543272198551,3,0,500,497,0.006,0.0,0.503
-3.9194509800540347,3,0,500,497,0.006,0.0,0.503
-3.9163586879095185,3,0,500,497,0.006,0.0,0.503
-3.9132663957650022,3,0,500,497,0.006,0.0,0.503
-3.910174103620486,3,0,500,497,0.006,0.0,0.503
-3.90708181147597,3,0,500,497,0.006,0.0,0.503
-3.9039895193314536,3,0,500,497,0.006,0.0,0.503
-3.9008972271869373,3,0,500,497,0.006,0.0,0.503
-3.897804935042421,3,0,500,497,0.006,0.0,0.503
-3.894712642897905,3,0,500,497,0.006,0.0,0.503
-3.8916203507533886,3,0,500,497,0.006,0.0,0.503
-3.8885280586088724,3,0,500,497,0.006,0.0,0.503
-3.885435766464356,3,0,500,497,0.006,0.0,0.503
-3.88234347431984,3,0,500,497,0.006,0.0,0.503
-3.8792511821753237,3,0,500,497,0.006,0.0,0.503
-3.8761588900308075,3,0,500,497,0.006,0.0,0.503
-3.8730665978862913,3,0,500,497,0.006,0.0,0.503
-3.869974305741775,3,0,500,497,0.006,0.0,0.503
-3.866882013597259,3,0,500,497,0.006,0.0,0.503
-3.8637897214527426,3,0,500,497,0.006,0.0,0.503
-3.8606974293082263,3,0,500,497,0.006,0.0,0.503
-3.85760513716371,3,0,500,497,0.006,0.0,0.503
-3.854512845019194,3,0,500,497,0.006,0.0,0.503
-3.8514205528746777,3,0,500,497,0.006,0.0,0.503
-3.8483282607301614,3,0,500,497,0.006,0.0,0.503
-3.845235968585645,3,0,500,497,0.006,0.0,0.503
-3.842143676441129,3,0,500,497,0.006,0.0,0.503
-3.8390513842966127,3,0,500,497,0.006,0.0,0.503
-3.8359590921520965,3,0,500,497,0.006,0.0,0.503
-3.8328668000075803,3,0,500,497,0.006,0.0,0.503
-3.829774507863064,3,0,500,497,0.006,0.0,0.503
-3.826682215718548,3,0,500,497,0.006,0.0,0.503
-3.8235899235740316,3,0,500,497,0.006,0.0,0.503
-3.8204976314295154,3,0,500,497,0.006,0.0,0.503
-3.817405339284999,3,0,500,497,0.006,0.0,0.503
-3.814313047140483,3,0,500,497,0.006,0.0,0.503
-3.8112207549959667,3,0,500,497,0.006,0.0,0.503
-3.8081284628514505,3,0,500,497,0.006,0.0,0.503
-3.8050361707069342,3,0,500,497,0.006,0.0,0.503
-3.801943878562418,3,0,500,497,0.006,0.0,0.503
-3.7988515864179018,3,0,500,497,0.006,0.0,0.503
-3.7957592942733855,3,0,500,497,0.006,0.0,0.503
-3.7926670021288693,3,0,500,497,0.006,0.0,0.503
-3.789574709984353,3,0,500,497,0.006,0.0,0.503
-3.786482417839837,3,0,500,497,0.006,0.0,0.503
-3.7833901256953206,3,0,500,497,0.006,0.0,0.503
-3.7802978335508044,3,0,500,497,0.006,0.0,0.503
-3.777205541406288,3,0,500,497,0.006,0.0,0.503
-3.774113249261772,3,0,500,497,0.006,0.0,0.503
-3.7710209571172557,3,0,500,497,0.006,0.0,0.503
-3.7679286649727395,3,0,500,497,0.006,0.0,0.503
-3.7648363728282233,3,0,500,497,0.006,0.0,0.503
-3.761744080683707,3,0,500,497,0.006,0.0,0.503
-3.758651788539191,3,0,500,497,0.006,0.0,0.503
-3.7555594963946746,3,0,500,497,0.006,0.0,0.503
-3.7524672042501583,3,0,500,497,0.006,0.0,0.503
-3.749374912105642,3,0,500,497,0.006,0.0,0.503
-3.746282619961126,3,0,500,497,0.006,0.0,0.503
-3.7431903278166097,3,0,500,497,0.006,0.0,0.503
-3.7400980356720934,3,0,500,497,0.006,0.0,0.503
-3.737005743527577,3,0,500,497,0.006,0.0,0.503
-3.733913451383061,3,0,500,497,0.006,0.0,0.503
-3.7308211592385447,3,0,500,497,0.006,0.0,0.503
-3.7277288670940285,3,0,500,497,0.006,0.0,0.503
-3.7246365749495123,3,0,500,497,0.006,0.0,0.503
-3.721544282804996,3,0,500,497,0.006,0.0,0.503
-3.71845199066048,3,0,500,497,0.006,0.0,0.503
-3.7153596985159636,3,0,500,497,0.006,0.0,0.503
-3.7122674063714474,3,0,500,497,0.006,0.0,0.503
-3.709175114226931,3,0,500,497,0.006,0.0,0.503
-3.706082822082415,3,0,500,497,0.006,0.0,0.503
-3.7029905299378987,3,0,500,497,0.006,0.0,0.503
-3.6998982377933824,3,0,500,497,0.006,0.0,0.503
-3.696805945648866,3,0,500,497,0.006,0.0,0.503
-3.69371365350435,3,0,500,497,0.006,0.0,0.503
-3.6906213613598338,3,0,500,497,0.006,0.0,0.503
-3.6875290692153175,3,0,500,497,0.006,0.0,0.503
-3.6844367770708013,3,0,500,497,0.006,0.0,0.503
-3.681344484926285,3,0,500,497,0.006,0.0,0.503
-3.678252192781769,3,0,500,497,0.006,0.0,0.503
-3.6751599006372526,3,0,500,497,0.006,0.0,0.503
-3.6720676084927364,3,0,500,497,0.006,0.0,0.503
-3.66897531634822,3,0,500,497,0.006,0.0,0.503
-3.665883024203704,3,0,500,497,0.006,0.0,0.503
